gene	PiaoT1	PiaoT2	PiaoT3	PiaoT4	PiaoT5	PiaoT6	PiaoT7	PiaoT8	PiaoT9	CtrlT7	CtrlT8	CtrlT1	CtrlT2	CtrlT9	CtrlT10	CtrlT3	CtrlT4	CtrlT11	CtrlT12	CtrlT5	CtrlT6
ENSGALG00000017003	0.17328	0.299633	0.0217998	0.173255	0.733303	0.097234	0.457775	0.197413	0.827112	0.181491	0.250405	0.0256434	0	0.351598	0.533182	0.0757121	0.37762	0.307722	0.804214	0.313359	0.158433
ENSGALG00000014463	24.3053	19.6778	21.5638	19.7965	28.49	24.4994	22.5803	29.6979	26.5782	31.3451	31.4045	34.3526	26.2618	31.7382	32.8165	28.0475	34.1164	51.4994	58.2582	38.131	45.8237
ENSGALG00000017129	248.991	300.56	254.639	243.403	223.961	229.088	233.772	221.42	218.845	267.037	251.032	252.348	230.624	259.714	270.877	294.673	260.941	307.866	244.602	236.197	263.332
ENSGALG00000008708	5.41986	8.33691	7.53904	6.13679	5.87241	5.75207	7.12491	6.68761	6.90939	7.47932	8.27351	7.124	8.05051	7.52558	6.74418	7.10252	6.32802	8.64487	7.56705	7.79503	7.61514
ENSGALG00000028177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000017026	19.2797	20.7448	21.4821	18.0426	17.5836	16.3387	18.7332	18.1947	16.4403	19.3411	20.1952	20.7187	20.749	20.2446	17.6927	19.7638	18.3955	17.4129	19.8348	20.0139	16.2012
ENSGALG00000004065	4.21235	4.49846	4.66168	5.38107	4.50413	5.05204	4.14352	3.88397	4.43589	4.74131	4.23349	3.97936	4.25446	4.65558	5.07077	4.8567	5.1662	5.57865	3.81446	5.06266	4.05333
ENSGALG00000003994	0	0	0.0286526	0	0	0	0	0.0486698	0	0	0	0	0	0	0	0	0	0.172093	0.127054	0	0.18389
ENSGALG00000012834	203.3	275.613	217.037	114.402	102.816	94.4323	83.6402	59.8991	52.9461	93.2597	135.709	195.385	176.742	149.112	132.939	123.364	130.112	72.9045	81.8737	93.7759	76.31
ENSGALG00000026586	7.35492	6.42221	7.54337	8.78188	6.78078	10.1593	6.43765	5.67759	6.94625	6.33545	7.35897	5.69587	8.02799	10.7156	6.77992	7.07847	8.431	5.3897	3.56713	6.20836	6.30539
ENSGALG00000006608	2.46464	3.09568	3.09449	1.96209	2.15461	1.86373	3.63748	2.57053	0.870112	1.80408	3.07817	4.04086	1.90914	3.73979	2.77786	2.78766	2.96691	1.87319	1.76917	2.37458	0.858511
ENSGALG00000028838	18.6656	20.3697	16.5335	16.4051	15.4746	16.1175	20.4195	19.3855	18.664	16.4696	16.4566	16.7894	16.6361	19.7818	15.3504	17.5776	17.8114	17.371	17.6797	18.2081	15.7926
ENSGALG00000024051	6.87353	7.91285	7.26778	6.77785	8.08057	6.81942	8.10771	7.3991	7.29693	7.29468	8.56817	8.54336	8.10999	7.60435	7.07903	7.64878	8.18786	6.4048	7.61909	8.27813	6.84817
ENSGALG00000013537	138.781	151.379	140.494	135.478	137.849	121.612	153.897	133.98	135.802	142.061	129.265	150.441	137.049	138.635	144.64	133.734	156.088	141.968	132.466	149.355	134.825
ENSGALG00000000544	0.34985	0	0	0	0	0	0	0	0	0.0547568	0.0564749	0	0	0	0	0	0	0	0	0	0
